panel,Q2,y,yerr
GEp,0.49,0.97212,0.016967385
GEp,0.79,0.959044,0.015751865
GEp,1.18,0.906991,0.022806704
GEp,1.48,0.828588,0.040440776
GEp,1.77,0.825388,0.044394777
GEp,1.88,0.814553,0.042775228
GEp,2.13,0.785809,0.049115547
GEp,2.47,0.741024,0.042399271
GEp,2.97,0.647275,0.037683283
GEp,3.47,0.63427,0.046336855
GEp,0.49,0.97212087,0.0059578399
GEp,0.79,0.95904496,0.010084595
GEp,1.18,0.90699105,0.018489059
GEp,1.48,0.82858829,0.026996611
GEp,1.77,0.82538824,0.036614181
GEp,1.88,0.81455315,0.034594922
GEp,2.13,0.78580987,0.035766446
GEp,2.47,0.7410248,0.034784948
GEp,2.97,0.64727502,0.022102074
GEp,3.47,0.63427035,0.01465311
GEp,0.65,1.035,0.052
GEp,0.91,0.954,0.053
GEp,2.2,0.923,0.121
GEp,2.75,0.888,0.114
GEp,3.75,0.873,0.232
GEp,4.2,1.255,0.157
GEp,5.2,1.183,0.511
GEp,0.32,0.9169897,0.066422277
GEp,0.35,0.89817614,0.060336717
GEp,0.39,0.94997097,0.032993588
GEp,0.46,0.94396671,0.034234017
GEp,0.57,0.95607189,0.039502244
GEp,0.76,0.97265485,0.035356004
GEp,0.86,0.8754484,0.033044033
GEp,0.88,0.93508968,0.088116255
GEp,1.02,0.91798212,0.044786304
GEp,1.12,0.84526835,0.034426084
GEp,1.18,0.87412161,0.056531685
GEp,1.42,0.75964628,0.067203275
GEp,1.76,0.85345336,0.14026746
GEp,5.17,0.44753647,0.069111073
GEp,6.7,0.31730795,0.1041003
GEp,8.49,0.12766642,0.17030735
GEp,0.297999,0.9136,0.013233755
GEp,0.345999,0.9309,0.012635357
GEp,0.402,0.9215,0.0099551951
GEp,0.449,0.923,0.0093648458
GEp,0.493999,0.9222,0.00925937
GEp,0.547,0.9234,0.0089431892
GEp,0.598999,0.9069,0.011654387
GEp,0.694999,0.9153,0.011648
GEp,0.215,0.81176072,0.050126846
GEp,0.235,0.92832271,0.043136906
GEp,0.251,0.97273094,0.043336283
GEp,0.265,0.9681558,0.036466985
GEp,0.308,0.91862796,0.016868771
GEp,0.346,0.91956197,0.014392016
GEp,0.4,0.90704728,0.014967198
GEp,0.474,0.91531719,0.020268622
GEp,0.162,1.0029488,0.019536767
GEp,0.191,0.98983942,0.01814288
GEp,0.232,0.98310472,0.016700541
GEp,0.282,0.95837435,0.016034125
GEp,0.345,0.96018701,0.01697809
GEp,0.419,0.96993681,0.018169054
GEp,0.5,0.98650088,0.020480601
GEp,0.591,0.95910187,0.025910232
GEp,0.8,0.90909171,0.01231618
GEp,1.3,0.88546639,0.021275475
GMp,2.862,1.023,0.02
GMp,3.621,1.025,0.023
GMp,4.991,1.012,0.02
GMp,5.017,1.0,0.02
GMp,5.027,1.008,0.019
GMp,7.3,0.948,0.027
GMp,9.629,0.892,0.02
GMp,11.99,0.872,0.02
GMp,15.72,0.819,0.025
GMp,19.47,0.731,0.029
GMp,23.24,0.729,0.032
GMp,26.99,0.708,0.044
GMp,31.2,0.72,0.066
GMp,1.0,1.017,0.027
GMp,2.003,1.014,0.017
GMp,2.497,1.03,0.016
GMp,3.007,1.012,0.02
GMp,1.75,1.05,0.01
GMp,2.5,1.054,0.007
GMp,3.25,1.045,0.009
GMp,4.0,1.031,0.009
GMp,5.0,1.012,0.009
GMp,6.0,0.987,0.012
GMp,7.0,0.959,0.016
GMp,8.83,0.916,0.023
GMp,0.65,0.968,0.032
GMp,0.91,1.028,0.019
GMp,2.2,1.05,0.016
GMp,2.75,1.055,0.01
GMp,3.75,1.044,0.015
GMp,4.2,1.012,0.012
GMp,5.2,1.007,0.032
GMp,2.64,1.053,0.015
GMp,3.2,1.048,0.015
GMp,4.1,1.031,0.015
GEn,0.67,0.18284658,0.026822536
GEn,0.0097,8.2200848e-05,0.0052608542
GEn,0.0389,0.022908007,0.015976638
GEn,0.0875,0.054302141,0.030002437
GEn,0.156,0.091226547,0.042280797
GEn,0.243,0.10901751,0.044194341
GEn,0.35,0.13186308,0.034748908
GEn,0.477,0.1484714,0.025602373
GEn,0.623,0.16898247,0.026859541
GEn,0.788,0.21518579,0.037793284
GEn,0.973,0.28274321,0.049277781
GEn,1.177,0.31016341,0.067669447
GEn,1.401,0.288631,0.10139656
GEn,1.644,0.33373212,0.1370764
GEn,0.495,0.13342154,0.017743452
GEn,0.35,0.12192208,0.0055723072
GEn,0.15,0.07057084,0.0095366
GEn,0.34,0.13362974,0.015090756
GEn,0.21,0.11081611,0.025185479
GEn,0.67,0.19644674,0.041556042
GEn,0.255,0.12192194,0.066502877
GEn,0.31,0.072235669,0.024766515
GEn,0.447,0.14605375,0.015933137
GEn,1.132,0.26519101,0.019519135
GEn,1.45,0.38039311,0.032393574
GEn,0.5,0.1527706,0.0095844676
GEn,1.0,0.26334883,0.031323429
GEn,1.72,0.27644445,0.030455744
GEn,2.48,0.41988274,0.048448009
GEn,3.41,0.49498848,0.067345371
GEn,0.142,0.04975697,0.007094063
GEn,0.203,0.068689325,0.0083020191
GEn,0.291,0.10174256,0.012643156
GEn,0.415,0.1179608,0.018333788
GEn,0.142,0.04975697,0.0030543882
GEn,0.203,0.068689325,0.0038545089
GEn,0.291,0.10174256,0.0045794107
GEn,0.415,0.1179608,0.0052382252
GMn,0.125,1.02,0.018
GMn,0.255,1.076,0.019
GMn,0.417,1.135,0.033
GMn,0.605,1.104,0.014
GMn,0.111,0.957,0.016
GMn,0.19,0.931,0.051
GMn,0.1,0.962,0.014
GMn,0.2,0.959,0.013
GMn,0.3,0.972,0.014
GMn,0.4,0.984,0.011
GMn,0.5,0.984,0.009
GMn,0.6,1.01,0.013
GMn,0.071,0.99,0.013
GMn,0.125,0.967,0.013
GMn,0.359,0.989,0.014
GMn,0.894,1.062,0.017
GMn,0.1,0.9481,0.0265
GMn,0.193,0.9511,0.0266
GMn,0.3,0.9511,0.0555
GMn,0.4,0.9577,0.031
GMn,0.5,0.9694,0.0271
GMn,0.6,0.9939,0.0288
GMn,0.9848,0.9953,0.022472205
GMn,1.1364,1.0073,0.026218505
GMn,1.2879,1.0319,0.023148218
GMn,1.4394,1.0228,0.021092416
GMn,1.5909,1.0127,0.020081086
GMn,1.7424,1.0136,0.020113677
GMn,1.8939,1.0167,0.02004894
GMn,2.0455,1.0,0.021982948
GMn,2.197,0.9919,0.022167769
GMn,2.3485,1.0016,0.022617692
GMn,2.5,1.0212,0.025040168
GMn,2.6515,1.0344,0.024507958
GMn,2.803,1.0012,0.023847222
GMn,2.9546,0.9954,0.024337009
GMn,3.1061,1.0019,0.025350345
GMn,3.2576,0.9779,0.025242028
GMn,3.4091,0.9967,0.026378779
GMn,3.5606,0.9918,0.025740241
GMn,3.7121,0.9742,0.027130979
GMn,3.8636,0.9791,0.029206164
GMn,4.0152,1.0285,0.030968371
GMn,4.1667,0.9193,0.031484123
GMn,4.3182,0.9079,0.033961154
GMn,4.4697,0.9903,0.042177719
GMn,4.6212,1.1074,0.099885985
GMn,4.7727,1.0921,0.13095053
