graph,panel,set_id,dataset_label,type,hidden,Q2,y,yerr
0,GEp,0,G0.S0,xydy,False,0.49,0.97212,0.016967385
0,GEp,0,G0.S0,xydy,False,0.79,0.959044,0.015751865
0,GEp,0,G0.S0,xydy,False,1.18,0.906991,0.022806704
0,GEp,0,G0.S0,xydy,False,1.48,0.828588,0.040440776
0,GEp,0,G0.S0,xydy,False,1.77,0.825388,0.044394777
0,GEp,0,G0.S0,xydy,False,1.88,0.814553,0.042775228
0,GEp,0,G0.S0,xydy,False,2.13,0.785809,0.049115547
0,GEp,0,G0.S0,xydy,False,2.47,0.741024,0.042399271
0,GEp,0,G0.S0,xydy,False,2.97,0.647275,0.037683283
0,GEp,0,G0.S0,xydy,False,3.47,0.63427,0.046336855
0,GEp,1,G0.S1,xydy,False,0.49,0.97212087,0.0059578399
0,GEp,1,G0.S1,xydy,False,0.79,0.95904496,0.010084595
0,GEp,1,G0.S1,xydy,False,1.18,0.90699105,0.018489059
0,GEp,1,G0.S1,xydy,False,1.48,0.82858829,0.026996611
0,GEp,1,G0.S1,xydy,False,1.77,0.82538824,0.036614181
0,GEp,1,G0.S1,xydy,False,1.88,0.81455315,0.034594922
0,GEp,1,G0.S1,xydy,False,2.13,0.78580987,0.035766446
0,GEp,1,G0.S1,xydy,False,2.47,0.7410248,0.034784948
0,GEp,1,G0.S1,xydy,False,2.97,0.64727502,0.022102074
0,GEp,1,G0.S1,xydy,False,3.47,0.63427035,0.01465311
0,GEp,2,Christy,xydy,False,0.65,1.035,0.052
0,GEp,2,Christy,xydy,False,0.91,0.954,0.053
0,GEp,2,Christy,xydy,False,2.2,0.923,0.121
0,GEp,2,Christy,xydy,False,2.75,0.888,0.114
0,GEp,2,Christy,xydy,False,3.75,0.873,0.232
0,GEp,2,Christy,xydy,False,4.2,1.255,0.157
0,GEp,2,Christy,xydy,False,5.2,1.183,0.511
0,GEp,3,Gayou2001,xydy,False,0.32,0.9169897,0.066422277
0,GEp,3,Gayou2001,xydy,False,0.35,0.89817614,0.060336717
0,GEp,3,Gayou2001,xydy,False,0.39,0.94997097,0.032993588
0,GEp,3,Gayou2001,xydy,False,0.46,0.94396671,0.034234017
0,GEp,3,Gayou2001,xydy,False,0.57,0.95607189,0.039502244
0,GEp,3,Gayou2001,xydy,False,0.76,0.97265485,0.035356004
0,GEp,3,Gayou2001,xydy,False,0.86,0.8754484,0.033044033
0,GEp,3,Gayou2001,xydy,False,0.88,0.93508968,0.088116255
0,GEp,3,Gayou2001,xydy,False,1.02,0.91798212,0.044786304
0,GEp,3,Gayou2001,xydy,False,1.12,0.84526835,0.034426084
0,GEp,3,Gayou2001,xydy,False,1.18,0.87412161,0.056531685
0,GEp,3,Gayou2001,xydy,False,1.42,0.75964628,0.067203275
0,GEp,3,Gayou2001,xydy,False,1.76,0.85345336,0.14026746
0,GEp,5,"Puckett, Crawford",xydy,False,5.17,0.44753647,0.069111073
0,GEp,5,"Puckett, Crawford",xydy,False,6.7,0.31730795,0.1041003
0,GEp,5,"Puckett, Crawford",xydy,False,8.49,0.12766642,0.17030735
0,GEp,6,"Zhan, Paolone",xydy,False,0.297999,0.9136,0.013233755
0,GEp,6,"Zhan, Paolone",xydy,False,0.345999,0.9309,0.012635357
0,GEp,6,"Zhan, Paolone",xydy,False,0.402,0.9215,0.0099551951
0,GEp,6,"Zhan, Paolone",xydy,False,0.449,0.923,0.0093648458
0,GEp,6,"Zhan, Paolone",xydy,False,0.493999,0.9222,0.00925937
0,GEp,6,"Zhan, Paolone",xydy,False,0.547,0.9234,0.0089431892
0,GEp,6,"Zhan, Paolone",xydy,False,0.598999,0.9069,0.011654387
0,GEp,6,"Zhan, Paolone",xydy,False,0.694999,0.9153,0.011648
0,GEp,7,Ron,xydy,False,0.215,0.81176072,0.050126846
0,GEp,7,Ron,xydy,False,0.235,0.92832271,0.043136906
0,GEp,7,Ron,xydy,False,0.251,0.97273094,0.043336283
0,GEp,7,Ron,xydy,False,0.265,0.9681558,0.036466985
0,GEp,7,Ron,xydy,False,0.308,0.91862796,0.016868771
0,GEp,7,Ron,xydy,False,0.346,0.91956197,0.014392016
0,GEp,7,Ron,xydy,False,0.4,0.90704728,0.014967198
0,GEp,7,Ron,xydy,False,0.474,0.91531719,0.020268622
0,GEp,8,G0.S8,xydy,False,0.162,1.0029488,0.019536767
0,GEp,8,G0.S8,xydy,False,0.191,0.98983942,0.01814288
0,GEp,8,G0.S8,xydy,False,0.232,0.98310472,0.016700541
0,GEp,8,G0.S8,xydy,False,0.282,0.95837435,0.016034125
0,GEp,8,G0.S8,xydy,False,0.345,0.96018701,0.01697809
0,GEp,8,G0.S8,xydy,False,0.419,0.96993681,0.018169054
0,GEp,8,G0.S8,xydy,False,0.5,0.98650088,0.020480601
0,GEp,8,G0.S8,xydy,False,0.591,0.95910187,0.025910232
0,GEp,9,G0.S9,xydy,False,0.8,0.90909171,0.01231618
0,GEp,9,G0.S9,xydy,False,1.3,0.88546639,0.021275475
1,GMp,16,Sill,xydy,False,2.862,1.023,0.02
1,GMp,16,Sill,xydy,False,3.621,1.025,0.023
1,GMp,16,Sill,xydy,False,4.991,1.012,0.02
1,GMp,16,Sill,xydy,False,5.017,1.0,0.02
1,GMp,16,Sill,xydy,False,5.027,1.008,0.019
1,GMp,16,Sill,xydy,False,7.3,0.948,0.027
1,GMp,16,Sill,xydy,False,9.629,0.892,0.02
1,GMp,16,Sill,xydy,False,11.99,0.872,0.02
1,GMp,16,Sill,xydy,False,15.72,0.819,0.025
1,GMp,16,Sill,xydy,False,19.47,0.731,0.029
1,GMp,16,Sill,xydy,False,23.24,0.729,0.032
1,GMp,16,Sill,xydy,False,26.99,0.708,0.044
1,GMp,16,Sill,xydy,False,31.2,0.72,0.066
1,GMp,17,Walker,xydy,False,1.0,1.017,0.027
1,GMp,17,Walker,xydy,False,2.003,1.014,0.017
1,GMp,17,Walker,xydy,False,2.497,1.03,0.016
1,GMp,17,Walker,xydy,False,3.007,1.012,0.02
1,GMp,18,Andivahis,xydy,False,1.75,1.05,0.01
1,GMp,18,Andivahis,xydy,False,2.5,1.054,0.007
1,GMp,18,Andivahis,xydy,False,3.25,1.045,0.009
1,GMp,18,Andivahis,xydy,False,4.0,1.031,0.009
1,GMp,18,Andivahis,xydy,False,5.0,1.012,0.009
1,GMp,18,Andivahis,xydy,False,6.0,0.987,0.012
1,GMp,18,Andivahis,xydy,False,7.0,0.959,0.016
1,GMp,18,Andivahis,xydy,False,8.83,0.916,0.023
1,GMp,19,Christy,xydy,False,0.65,0.968,0.032
1,GMp,19,Christy,xydy,False,0.91,1.028,0.019
1,GMp,19,Christy,xydy,False,2.2,1.05,0.016
1,GMp,19,Christy,xydy,False,2.75,1.055,0.01
1,GMp,19,Christy,xydy,False,3.75,1.044,0.015
1,GMp,19,Christy,xydy,False,4.2,1.012,0.012
1,GMp,19,Christy,xydy,False,5.2,1.007,0.032
1,GMp,20,Qattan,xydy,False,2.64,1.053,0.015
1,GMp,20,Qattan,xydy,False,3.2,1.048,0.015
1,GMp,20,Qattan,xydy,False,4.1,1.031,0.015
2,GEn,10,Bermuth,xydy,False,0.67,0.18284658,0.026822536
2,GEn,11,Schiavilla,xydy,False,0.0097,8.2200848e-05,0.0052608542
2,GEn,11,Schiavilla,xydy,False,0.0389,0.022908007,0.015976638
2,GEn,11,Schiavilla,xydy,False,0.0875,0.054302141,0.030002437
2,GEn,11,Schiavilla,xydy,False,0.156,0.091226547,0.042280797
2,GEn,11,Schiavilla,xydy,False,0.243,0.10901751,0.044194341
2,GEn,11,Schiavilla,xydy,False,0.35,0.13186308,0.034748908
2,GEn,11,Schiavilla,xydy,False,0.477,0.1484714,0.025602373
2,GEn,11,Schiavilla,xydy,False,0.623,0.16898247,0.026859541
2,GEn,11,Schiavilla,xydy,False,0.788,0.21518579,0.037793284
2,GEn,11,Schiavilla,xydy,False,0.973,0.28274321,0.049277781
2,GEn,11,Schiavilla,xydy,False,1.177,0.31016341,0.067669447
2,GEn,11,Schiavilla,xydy,False,1.401,0.288631,0.10139656
2,GEn,11,Schiavilla,xydy,False,1.644,0.33373212,0.1370764
2,GEn,12,Zhu,xydy,False,0.495,0.13342154,0.017743452
2,GEn,13,Becker,xydy,False,0.35,0.12192208,0.0055723072
2,GEn,14,Herberg,xydy,False,0.15,0.07057084,0.0095366
2,GEn,15,Ostrick,xydy,False,0.34,0.13362974,0.015090756
2,GEn,16,Passchier,xydy,False,0.21,0.11081611,0.025185479
2,GEn,17,Rohe,xydy,False,0.67,0.19644674,0.041556042
2,GEn,18,Eden,xydy,False,0.255,0.12192194,0.066502877
2,GEn,19,Meyerhoff,xydy,False,0.31,0.072235669,0.024766515
2,GEn,20,Madey,xydy,False,0.447,0.14605375,0.015933137
2,GEn,20,Madey,xydy,False,1.132,0.26519101,0.019519135
2,GEn,20,Madey,xydy,False,1.45,0.38039311,0.032393574
2,GEn,21,Warren,xydy,False,0.5,0.1527706,0.0095844676
2,GEn,21,Warren,xydy,False,1.0,0.26334883,0.031323429
2,GEn,22,Riordan,xydy,False,1.72,0.27644445,0.030455744
2,GEn,22,Riordan,xydy,False,2.48,0.41988274,0.048448009
2,GEn,22,Riordan,xydy,False,3.41,0.49498848,0.067345371
2,GEn,23,Geis,xydy,False,0.142,0.04975697,0.007094063
2,GEn,23,Geis,xydy,False,0.203,0.068689325,0.0083020191
2,GEn,23,Geis,xydy,False,0.291,0.10174256,0.012643156
2,GEn,23,Geis,xydy,False,0.415,0.1179608,0.018333788
2,GEn,24,G2.S24,xydy,False,0.142,0.04975697,0.0030543882
2,GEn,24,G2.S24,xydy,False,0.203,0.068689325,0.0038545089
2,GEn,24,G2.S24,xydy,False,0.291,0.10174256,0.0045794107
2,GEn,24,G2.S24,xydy,False,0.415,0.1179608,0.0052382252
3,GMn,0,Bruins,xydy,False,0.125,1.02,0.018
3,GMn,0,Bruins,xydy,False,0.255,1.076,0.019
3,GMn,0,Bruins,xydy,False,0.417,1.135,0.033
3,GMn,0,Bruins,xydy,False,0.605,1.104,0.014
3,GMn,1,Anklin-98,xydy,False,0.111,0.957,0.016
3,GMn,2,Gao,xydy,False,0.19,0.931,0.051
3,GMn,3,Xu-2000,xydy,False,0.1,0.962,0.014
3,GMn,3,Xu-2000,xydy,False,0.2,0.959,0.013
3,GMn,4,Xu-2003,xydy,False,0.3,0.972,0.014
3,GMn,4,Xu-2003,xydy,False,0.4,0.984,0.011
3,GMn,4,Xu-2003,xydy,False,0.5,0.984,0.009
3,GMn,4,Xu-2003,xydy,False,0.6,1.01,0.013
3,GMn,5,Kubon,xydy,False,0.071,0.99,0.013
3,GMn,5,Kubon,xydy,False,0.125,0.967,0.013
3,GMn,5,Kubon,xydy,False,0.359,0.989,0.014
3,GMn,5,Kubon,xydy,False,0.894,1.062,0.017
3,GMn,6,Anderson,xydy,False,0.1,0.9481,0.0265
3,GMn,6,Anderson,xydy,False,0.193,0.9511,0.0266
3,GMn,6,Anderson,xydy,False,0.3,0.9511,0.0555
3,GMn,6,Anderson,xydy,False,0.4,0.9577,0.031
3,GMn,6,Anderson,xydy,False,0.5,0.9694,0.0271
3,GMn,6,Anderson,xydy,False,0.6,0.9939,0.0288
3,GMn,7,Lachniet,xydy,False,0.9848,0.9953,0.022472205
3,GMn,7,Lachniet,xydy,False,1.1364,1.0073,0.026218505
3,GMn,7,Lachniet,xydy,False,1.2879,1.0319,0.023148218
3,GMn,7,Lachniet,xydy,False,1.4394,1.0228,0.021092416
3,GMn,7,Lachniet,xydy,False,1.5909,1.0127,0.020081086
3,GMn,7,Lachniet,xydy,False,1.7424,1.0136,0.020113677
3,GMn,7,Lachniet,xydy,False,1.8939,1.0167,0.02004894
3,GMn,7,Lachniet,xydy,False,2.0455,1.0,0.021982948
3,GMn,7,Lachniet,xydy,False,2.197,0.9919,0.022167769
3,GMn,7,Lachniet,xydy,False,2.3485,1.0016,0.022617692
3,GMn,7,Lachniet,xydy,False,2.5,1.0212,0.025040168
3,GMn,7,Lachniet,xydy,False,2.6515,1.0344,0.024507958
3,GMn,7,Lachniet,xydy,False,2.803,1.0012,0.023847222
3,GMn,7,Lachniet,xydy,False,2.9546,0.9954,0.024337009
3,GMn,7,Lachniet,xydy,False,3.1061,1.0019,0.025350345
3,GMn,7,Lachniet,xydy,False,3.2576,0.9779,0.025242028
3,GMn,7,Lachniet,xydy,False,3.4091,0.9967,0.026378779
3,GMn,7,Lachniet,xydy,False,3.5606,0.9918,0.025740241
3,GMn,7,Lachniet,xydy,False,3.7121,0.9742,0.027130979
3,GMn,7,Lachniet,xydy,False,3.8636,0.9791,0.029206164
3,GMn,7,Lachniet,xydy,False,4.0152,1.0285,0.030968371
3,GMn,7,Lachniet,xydy,False,4.1667,0.9193,0.031484123
3,GMn,7,Lachniet,xydy,False,4.3182,0.9079,0.033961154
3,GMn,7,Lachniet,xydy,False,4.4697,0.9903,0.042177719
3,GMn,7,Lachniet,xydy,False,4.6212,1.1074,0.099885985
3,GMn,7,Lachniet,xydy,False,4.7727,1.0921,0.13095053
